"MANDT","MSEHI","KZEX3","KZEX6","ANDEC","KZKEH","KZWOB","KZ1EH","KZ2EH","DIMID","ZAEHL","NENNR","EXP10","ADDKO","EXPON","DECAN","ISOCODE","PRIMARY","TEMP_VALUE","TEMP_UNIT","FAMUNIT","PRESS_VAL","PRESS_UNIT"
"000","B75","X","X","0","X","","","","RESIST","1","1","6","0","0","0","B75","","0","","","0",""
"000","P","X","X","0","X","","","","POINTS","1","1","0","0","0","0","","","0","","","0",""
"000","B78","X","X","0","X","","","","VOLTAG","1","1","6","0","0","0","B78","","0","","","0",""
"000","PA","X","X","0","","","","","PRESS","1","1","0","0","0","0","PAL","X","0","","","0",""
"000","B84","X","X","0","X","","","","ECURR","1","1","-6","0","0","0","B84","","0","","","0",""
"000","PAA","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","PR","","0","","","0",""
"000","BAG","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","BG","X","0","","","0",""
"000","PAK","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","PK","X","0","","","0",""
"000","BAR","X","X","0","","","","","PRESS","100000","1","0","0","0","0","BAR","","0","","","0",""
"000","PAL","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","PF","X","0","","","0",""
"000","BG","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","BG1","","0","","","0",""
"000","PAS","X","X","0","X","","","","VISDYN","1","1","0","0","0","0","C65","","0","","","0",""
"000","BM2","X","X","0","","","","","SURCNT","1","1","0","0","0","0","","","0","","","0",""
"000","PC","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","PCE","","0","","","0",""
"000","BOT","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","BO","X","0","","","0",""
"000","PL","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","PF1","","0","","","0",""
"000","BQ","X","X","0","","","","","ACTVTY","1","1","0","0","0","0","","","0","","","0",""
"000","PMI","X","X","0","X","","","","FREQU","1","60","0","0","0","0","","","0","","","0",""
"000","BQ2","X","X","0","","","","","SURCNT","1","10000","0","0","0","0","","","0","","","0",""
"000","PMR","X","X","0","X","","","","PERMEA","1","1","0","0","0","3","","","0","","","0",""
"000","BQG","X","X","0","","","","","SPARAD","1","1000","0","0","0","0","","","0","","","0",""
"000","PPB","X","X","0","X","","","","PROPOR","1","1","-9","0","0","0","","","0","","","0",""
"000","BQK","X","X","0","","","","","SPARAD","1","1","0","0","0","0","","","0","","","0",""
"000","PPM","X","X","0","X","","","","PROPOR","1","1","-6","0","0","0","59","","0","","","0",""
"000","BX","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","BX1","","0","","","0",""
"000","PPT","X","X","0","X","","","","PROPOR","1","1","-12","0","0","0","","","0","","","0",""
"000","BYT","X","X","0","","","","","AAAADL","1","1","0","0","0","0","BYT","","0","","","0",""
"000","PRM","X","X","0","X","","","","PERMEA","1","6000000","0","0","0","3","","","0","","","0",""
"000","C10","X","X","0","X","","","","CAPACI","1","1","-3","0","0","0","C10","","0","","","0",""
"000","PRS","X","X","0","X","","","","AAAADL","1","1","0","0","0","0","IE","","0","","","0",""
